aid,audcatid,artstid,Title,Album,Sevadar,Titlefws,Duration,audiosize,audiopath,audio_year,filename,cdnpath,imgpath,status,createdon
,,,Sabh Dhan Kahoh Gur Satguru,December 2010,Davinder Kaur BTD,SDKGS,28,26,,2010,12_DKB - Sabh Dhan Kahoh Gur Satguru (26-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D104/12_DKB%20-%20Sabh%20Dhan%20Kahoh%20Gur%20Satguru%20%2826-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,E Man Roorae Rangule (25-12-1,December 2010,Davinder Kaur BTD,EMRR(,30,28,,2010,05 DKB - E Man Roorae Rangule (25-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D103/05%20DKB%20-%20E%20Man%20Roorae%20Rangule%20%2825-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,In Maya Jagdeesh Gusaee,December 2010,Gagandeep Kaur Dodra,IMJG,18,17,,2010,32_Gagandeep Kaur Dodra - In Maya Jagdeesh Gusaee (30-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D107/32_Gagandeep%20Kaur%20Dodra%20-%20In%20Maya%20Jagdeesh%20Gusaee%20%2830-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Kachahu Kanchan Bhaeiao,December 2010,Guneet Kaur Jammu,KKB,17,16,,2010,24_GKJ-Kachahu Kanchan Bhaeiao(22-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D101/24_GKJ-Kachahu%20Kanchan%20Bhaeiao%2822-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Jo Sukh Darshan Pekhtae Piare,December 2010,Guria Jammu,JSDPP,24,22,,2010,23_Guria jammu - Jo Sukh Darshan Pekhtae Piare (27-12-10) E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D105/23_Guria%20jammu%20-%20Jo%20Sukh%20Darshan%20Pekhtae%20Piare%20%2827-12-10%29%20E.mp3,,1,2010-12-30 23:45:36
,,,Man Toon Jot Saroop Hai,December 2010,Gurleen Kaur Toronto,MTJSH,27,25,,2010,02_GKT - Man Tu Jot Saroop Hai (25-12-10)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D104/02_GKT%20-%20Man%20Tu%20Jot%20Saroop%20Hai%20%2825-12-10%29E.mp3,,1,2010-12-30 23:45:36
,,,Pyare Har Bin Prem Na Khelsa,December 2010,Gurleen Kaur Toronto,PHBPNK,29,27,,2010,11_GKT - Pyare Har Bin Prem Na Khelsa (26-12-10)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D104/11_GKT%20-%20Pyare%20Har%20Bin%20Prem%20Na%20Khelsa%20%2826-12-10%29E.mp3,,1,2010-12-30 23:45:36
,,,Naam Simran,December 2010,Gurleen Kaur Toronto,NS,43,40,,2010,01_GKT- Naam Simran(28-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D105/01_GKT-%20Naam%20Simran%2828-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,Aavoh Sajna Haun Dekha Darsha,December 2010,Gurleen Kaur Toronto,ASHDD,25,23,,2010,07_GKT - Aavoh Sajna Haun Dekha Darshan Tera Ram (30-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D107/07_GKT%20-%20Aavoh%20Sajna%20Haun%20Dekha%20Darshan%20Tera%20Ram%20%2830-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
,,,Naam Simran,December 2010,Gurleen Kaur Toronto,NS,45,41,,2010,01_GKT-Naam Simran (24-12-10) M .mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D102/01_GKT-Naam%20Simran%20%2824-12-10%29%20M%20.mp3,,1,2010-12-30 23:45:36
,,,Man Mera Dayaal Seti Thir Na,December 2010,Gurmeet Kaur DL,MMDSTN,29,27,,2010,15_GKD - Man Mera Dayaal Seti Thir Na Rahe (26-12-10)E.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D104/15_GKD%20-%20Man%20Mera%20Dayaal%20Seti%20Thir%20Na%20Rahe%20%2826-12-10%29E.mp3,,1,2010-12-30 23:45:36
,,,Ham Paapi Paathar Neer Dubat,December 2010,Gurmeet Kaur BTD,HPPND,28,26,,2010,18 GKB - Ham Paapi Paathar Neer Dubat (25-12-10)M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D103/18%20GKB%20-%20Ham%20Paapi%20Paathar%20Neer%20Dubat%20%2825-12-10%29M.mp3,,1,2010-12-30 23:45:36
,,,Har Kae Naam Kee Gath Thande,December 2010,Gurmeet Kaur BTD,HKNKGT,27,25,,2010,18_GKB-Har Kae Naam Kee Gath Thande (23-12-10) M.mp3,https://brahmbungadodra.org/kirtanrecords/samagams/pre/December/Dec'10/D102/18_GKB-Har%20Kae%20Naam%20Kee%20Gath%20Thande%20%2823-12-10%29%20M.mp3,,1,2010-12-30 23:45:36
